experiment_id,model_name,pretrain_dataset,checkpoint_name,subject_id,video_name,video_dir,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_0,person_0,dataset/person_0,752,664,88,0.8829787234042553,31.71105515813253,0.6105189544067805,35.398954683044664,0.6105189544067805,31.996917103812777,0.6051438999574014,-0.06285128100982515,0.03878926169019499,32.32421875,15.731972966227913
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_1,person_1,dataset/person_1,765,684,81,0.8941176470588236,24.114480537280702,0.5314494031073536,27.833362781706647,0.5314494031073536,26.72868990967632,0.5847378379800586,0.037350825511910685,0.03826525946426363,22.82421875,13.899205450499789
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_2,person_2,dataset/person_2,704,684,20,0.9715909090909091,15.330957602339181,0.41964045548746187,18.85442572797753,0.41964045548746187,21.45518744246921,0.5898710900460316,0.05732791759603063,0.038229004163482065,13.6484375,10.975022028547349
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_3,person_3,dataset/person_3,781,755,26,0.9667093469910372,23.23661009933775,0.4994163522163548,26.986101089612188,0.4994163522163548,26.293147730267574,0.5554835784436882,0.03328490937945178,0.036421833469277014,23.234375,13.722594620192023
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_4,person_4,dataset/person_4,724,702,22,0.9696132596685083,32.78277466168091,0.6002776571689716,36.43712759037585,0.6002776571689716,32.963012618195116,0.5862721768563214,0.06904045051000325,0.03770625973407325,32.400390625,15.904526164547661
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_5,person_5,dataset/person_5,679,664,15,0.9779086892488954,23.62257035956325,0.5214312968630235,27.176482241669127,0.5214312968630235,25.565737970251543,0.5623989989402051,0.07883017537169082,0.03874515471999352,22.884765625,13.436344615975024
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_6,person_6,dataset/person_6,725,709,16,0.9779310344827586,24.142465179830747,0.53906790798421,28.087184256116476,0.53906790798421,26.477908149849004,0.5761649034752713,0.010778570649179003,0.03760668600488239,24.4453125,14.35379024779508
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_7,person_7,dataset/person_7,780,698,82,0.8948717948717949,33.71290181769341,0.5945824064248062,37.19304315479328,0.5945824064248062,34.08051730699524,0.5956011926029345,0.09766091781978073,0.03772370716252835,35.294921875,15.708682635564307
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_8,person_8,dataset/person_8,796,740,56,0.9296482412060302,14.541913006756756,0.39439634026514164,18.071333765797117,0.39439634026514164,20.352755273476436,0.5545646415202933,-0.1124293222462381,0.036577119914210005,12.4765625,10.728740381739026
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_9,person_9,dataset/person_9,660,643,17,0.9742424242424242,21.873092437791602,0.5586722106529777,26.05996710743915,0.5586722106529777,23.82678116833535,0.5931692540107274,-0.020475757286668363,0.03948934458788291,19.83984375,14.166499668183178
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_10,person_10,dataset/person_10,769,602,167,0.7828348504551366,27.087345566860463,0.5557383590160692,30.32571605609673,0.5557383590160692,29.830084127500363,0.6064056277744428,0.10981924037821972,0.040577903150252254,26.521484375,13.635423149154109
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_11,person_11,dataset/person_11,688,651,37,0.9462209302325582,19.72104814708141,0.5142923867345758,23.687698602082506,0.5142923867345758,23.61350724513219,0.6052985045459367,-0.09588843539248307,0.03907255721357362,18.71875,13.122016805491384
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_12,person_12,dataset/person_12,568,508,60,0.8943661971830986,19.748892716535433,0.5453665598536022,23.261782032109124,0.5453665598536022,22.978240612317038,0.6194069640778775,-0.08174585529798993,0.044306639353416055,19.47265625,12.291937999360748
EfficientPhys_UBFC-rPPG,EfficientPhys,UBFC-rPPG,UBFC-rPPG_EfficientPhys.pth,person_13,person_13,dataset/person_13,943,899,44,0.953340402969247,22.461967290044495,0.4427498614483372,26.091543513761042,0.4427498614483372,25.898120895456913,0.5022172005350511,-0.01907387231827668,0.033382953937527444,22.9921875,13.275114628185216
