experiment_id,model_name,pretrain_dataset,checkpoint_name,subject_id,video_name,video_dir,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_0,person_0,dataset/person_0,752,664,88,0.8829787234042553,37.85651590737952,0.6131425425749437,41.021244068358236,0.6131425425749437,38.26771453287121,0.6107558286042142,0.026210476230300168,0.03885275112904801,39.431640625,15.799578104181679
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_1,person_1,dataset/person_1,765,684,81,0.8941176470588236,24.818947596856724,0.573018175706525,28.992610150234896,0.573018175706525,27.43380307702244,0.6261356002737918,-0.004624605386249627,0.03829156957638585,23.384765625,14.986369924300657
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_2,person_2,dataset/person_2,704,684,20,0.9715909090909091,13.055726882309942,0.39278879489760216,16.612694002030317,0.39278879489760216,18.10385718857898,0.5329048495340856,0.08289155644315699,0.0381602000114341,10.98046875,10.272759978682634
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_3,person_3,dataset/person_3,781,755,26,0.9667093469910372,25.117363410596028,0.5552349555609694,29.387714540040804,0.5552349555609694,28.462987355584236,0.622838974986187,0.07684323524337537,0.036334273606459674,24.9921875,15.256337082896984
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_4,person_4,dataset/person_4,724,702,22,0.9696132596685083,38.6555099269943,0.6490908253475689,42.30856077911807,0.6490908253475689,38.71840409361868,0.6181463803951607,-0.10964764502641867,0.03756855436475261,40.568359375,17.197844849991306
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_5,person_5,dataset/person_5,679,664,15,0.9779086892488954,29.54909873870482,0.563975920915775,32.92942370606057,0.563975920915775,31.961975466804475,0.6036343338594298,0.07933341380041747,0.038743603106238506,29.779296875,14.532642889149134
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_6,person_6,dataset/person_6,725,709,16,0.9779310344827586,26.737967207334275,0.6184244297541127,31.401832304501326,0.6184244297541127,29.33623044142507,0.6614622402930176,0.03967374433632589,0.03757926077219123,26.62890625,16.46682063118257
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_7,person_7,dataset/person_7,780,698,82,0.8948717948717949,36.20028765222063,0.6091013612169375,39.615930443856456,0.6091013612169375,36.64167400712727,0.6133910342704879,0.14553608544761684,0.03750132656336751,38.5078125,16.09226891488443
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_8,person_8,dataset/person_8,796,740,56,0.9296482412060302,14.999229307432433,0.3805963200673343,18.225490757865742,0.3805963200673343,20.991665476597635,0.5285334875282931,-0.004746386134383093,0.03681009405237279,12.87109375,10.353339246258166
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_9,person_9,dataset/person_9,660,643,17,0.9742424242424242,28.812597200622083,0.6009750062649672,32.594457865395995,0.6009750062649672,31.386978189484935,0.6292224162505492,-0.033585545145253186,0.03947534255091604,28.2890625,15.239190467140277
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_10,person_10,dataset/person_10,769,602,167,0.7828348504551366,29.576788309800666,0.5810750449419037,32.83368130214781,0.5810750449419037,32.553099674354165,0.6288478015052444,-0.0030138987070331795,0.04082464362805436,29.62890625,14.257076177402213
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_11,person_11,dataset/person_11,688,651,37,0.9462209302325582,24.28561227918587,0.4963484580623224,27.389276920910373,0.4963484580623224,29.21550269316357,0.5905920645018313,0.0529223045555361,0.03919842512953347,24.5078125,12.664182819091412
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_12,person_12,dataset/person_12,568,508,60,0.8943661971830986,21.185085506889763,0.605705292934839,25.202823851584263,0.605705292934839,24.734294488671335,0.695451928951768,0.07866520183143667,0.04431765915619442,20.673828125,13.651903975627494
DeepPhys_SCAMPS,DeepPhys,SCAMPS,SCAMPS_DeepPhys.pth,person_13,person_13,dataset/person_13,943,899,44,0.953340402969247,26.144687673804228,0.4966420440190747,30.087971485954036,0.4966420440190747,30.18701257178099,0.564974125241531,0.03983805998703767,0.03336252226429424,26.5078125,14.89098165262494
