timestamp_brt,heart_rate_bpm,relative_video_time
2026-04-19 14:40:00,97,0.66
2026-04-19 14:40:02,97,2.66
2026-04-19 14:40:04,101,4.67
2026-04-19 14:40:06,101,6.67
2026-04-19 14:40:08,105,8.66
2026-04-19 14:40:09,102,9.66
2026-04-19 14:40:11,102,11.67
2026-04-19 14:40:12,102,12.67
2026-04-19 14:40:13,102,13.68
2026-04-19 14:40:15,102,15.66
2026-04-19 14:40:16,102,16.68
2026-04-19 14:40:18,102,18.67
2026-04-19 14:40:20,103,20.67
2026-04-19 14:40:21,104,21.68
2026-04-19 14:40:23,103,23.67
2026-04-19 14:40:25,102,25.67
2026-04-19 14:40:26,102,26.68
2026-04-19 14:40:28,105,28.67
2026-04-19 14:40:29,105,29.68
2026-04-19 14:40:31,112,31.67
2026-04-19 14:40:32,114,32.68
2026-04-19 14:40:34,117,34.67
2026-04-19 14:40:35,117,35.69
2026-04-19 14:40:37,114,37.67
2026-04-19 14:40:38,114,38.69
2026-04-19 14:40:40,111,40.67
2026-04-19 14:40:41,111,41.68
2026-04-19 14:40:42,109,42.69
2026-04-19 14:40:44,106,44.68
2026-04-19 14:40:45,106,45.68
2026-04-19 14:40:47,105,47.68
2026-04-19 14:40:49,106,49.68
2026-04-19 14:40:50,104,50.69
2026-04-19 14:40:51,104,51.69
2026-04-19 14:40:52,103,52.69
2026-04-19 14:40:54,103,54.69
2026-04-19 14:40:55,103,55.69
2026-04-19 14:40:56,105,56.69
2026-04-19 14:40:58,105,58.69
2026-04-19 14:40:59,105,59.69
2026-04-19 14:41:01,105,61.69
2026-04-19 14:41:02,105,62.69
2026-04-19 14:41:04,102,64.69
2026-04-19 14:41:05,99,65.69
2026-04-19 14:41:06,99,66.69
2026-04-19 14:41:08,100,68.71
2026-04-19 14:41:10,99,70.69
2026-04-19 14:41:11,100,71.7
2026-04-19 14:41:12,100,72.7
2026-04-19 14:41:14,99,74.69
2026-04-19 14:41:15,99,75.7
2026-04-19 14:41:17,100,77.69
2026-04-19 14:41:19,101,79.69
2026-04-19 14:41:21,115,81.69
2026-04-19 14:41:22,115,82.69
2026-04-19 14:41:23,117,83.69
2026-04-19 14:41:24,117,84.69
2026-04-19 14:41:25,118,85.7
2026-04-19 14:41:26,118,86.7
2026-04-19 14:41:28,117,88.7
2026-04-19 14:41:30,113,90.7
2026-04-19 14:41:31,112,91.71
2026-04-19 14:41:33,93,93.7
2026-04-19 14:41:34,93,94.7
2026-04-19 14:41:35,89,95.71
2026-04-19 14:41:37,88,97.7
2026-04-19 14:41:39,87,99.7
2026-04-19 14:41:40,87,100.7
2026-04-19 14:41:42,88,102.7
2026-04-19 14:41:43,88,103.71
2026-04-19 14:41:45,90,105.7
2026-04-19 14:41:47,90,107.7
2026-04-19 14:41:49,88,109.7
2026-04-19 14:41:50,87,110.7
2026-04-19 14:41:52,88,112.7
2026-04-19 14:41:54,93,114.71
2026-04-19 14:41:56,96,116.71
2026-04-19 14:41:58,98,118.71
2026-04-19 14:41:59,98,119.71
2026-04-19 14:42:01,101,121.71
2026-04-19 14:42:02,109,122.71
2026-04-19 14:42:04,106,124.71
2026-04-19 14:42:05,106,125.71
2026-04-19 14:42:06,103,126.71
2026-04-19 14:42:08,101,128.71
2026-04-19 14:42:10,101,130.71
2026-04-19 14:42:11,101,131.71
2026-04-19 14:42:13,101,133.71
2026-04-19 14:42:15,101,135.72
2026-04-19 14:42:17,100,137.71
2026-04-19 14:42:19,109,139.73
2026-04-19 14:42:21,112,141.72
2026-04-19 14:42:23,111,143.72
2026-04-19 14:42:25,109,145.73
2026-04-19 14:42:27,108,147.72
2026-04-19 14:42:28,108,148.72
2026-04-19 14:42:30,105,150.72
2026-04-19 14:42:32,103,152.73
2026-04-19 14:42:34,100,154.72
2026-04-19 14:42:36,97,156.72
2026-04-19 14:42:38,95,158.72
2026-04-19 14:42:39,95,159.72
2026-04-19 14:42:41,95,161.73
2026-04-19 14:42:43,94,163.74
2026-04-19 14:42:45,92,165.72
2026-04-19 14:42:46,92,166.72
2026-04-19 14:42:47,93,167.73
2026-04-19 14:42:49,93,169.73
2026-04-19 14:42:50,93,170.73
2026-04-19 14:42:51,95,171.73
2026-04-19 14:42:53,96,173.73
2026-04-19 14:42:55,97,175.73
2026-04-19 14:42:56,99,176.73
2026-04-19 14:42:58,102,178.74
2026-04-19 14:43:00,102,180.73
2026-04-19 14:43:02,105,182.73
2026-04-19 14:43:04,107,184.73
2026-04-19 14:43:06,104,186.73
