timestamp_brt,heart_rate_bpm,relative_video_time
2026-04-28 13:35:18,70,0.15
2026-04-28 13:35:19,70,1.15
2026-04-28 13:35:20,70,2.16
2026-04-28 13:35:22,70,4.16
2026-04-28 13:35:24,71,6.16
2026-04-28 13:35:26,72,8.16
2026-04-28 13:35:28,72,10.16
2026-04-28 13:35:29,74,11.16
2026-04-28 13:35:30,74,12.16
2026-04-28 13:35:32,76,14.16
2026-04-28 13:35:34,77,16.16
2026-04-28 13:35:36,78,18.16
2026-04-28 13:35:38,76,20.16
2026-04-28 13:35:39,76,21.16
2026-04-28 13:35:41,76,23.16
2026-04-28 13:35:42,76,24.16
2026-04-28 13:35:43,75,25.16
2026-04-28 13:35:45,75,27.16
2026-04-28 13:35:46,75,28.18
2026-04-28 13:35:48,75,30.17
2026-04-28 13:35:50,75,32.16
2026-04-28 13:35:51,75,33.17
2026-04-28 13:35:53,76,35.16
2026-04-28 13:35:54,76,36.17
2026-04-28 13:35:55,76,37.17
2026-04-28 13:35:57,76,39.17
2026-04-28 13:35:58,77,40.17
2026-04-28 13:35:59,77,41.17
2026-04-28 13:36:00,79,42.17
2026-04-28 13:36:01,79,43.17
2026-04-28 13:36:02,79,44.17
2026-04-28 13:36:03,79,45.17
2026-04-28 13:36:05,80,47.18
2026-04-28 13:36:07,75,49.17
2026-04-28 13:36:08,75,50.17
2026-04-28 13:36:09,73,51.17
2026-04-28 13:36:10,73,52.18
2026-04-28 13:36:12,72,54.18
2026-04-28 13:36:14,72,56.17
2026-04-28 13:36:15,71,57.17
2026-04-28 13:36:16,71,58.18
2026-04-28 13:36:18,71,60.18
2026-04-28 13:36:20,71,62.17
2026-04-28 13:36:21,71,63.18
2026-04-28 13:36:22,71,64.18
2026-04-28 13:36:24,71,66.18
2026-04-28 13:36:25,71,67.18
2026-04-28 13:36:27,71,69.18
2026-04-28 13:36:29,71,71.18
2026-04-28 13:36:31,71,73.18
2026-04-28 13:36:32,71,74.18
2026-04-28 13:36:33,71,75.18
2026-04-28 13:36:35,70,77.18
2026-04-28 13:36:37,70,79.18
2026-04-28 13:36:38,70,80.18
2026-04-28 13:36:40,71,82.18
2026-04-28 13:36:42,71,84.18
2026-04-28 13:36:43,72,85.18
2026-04-28 13:36:45,72,87.19
2026-04-28 13:36:47,71,89.19
2026-04-28 13:36:48,71,90.19
