timestamp_brt,heart_rate_bpm,relative_video_time
2025-12-02 18:44:14,89,1.84
2025-12-02 18:44:15,89,2.84
2025-12-02 18:44:17,89,4.84
2025-12-02 18:44:19,90,6.85
2025-12-02 18:44:21,92,8.83
2025-12-02 18:44:22,92,9.83
2025-12-02 18:44:23,92,10.83
2025-12-02 18:44:25,93,12.84
2025-12-02 18:44:27,93,14.85
2025-12-02 18:44:29,94,16.84
2025-12-02 18:44:30,95,17.84
2025-12-02 18:44:32,96,19.84
2025-12-02 18:44:33,96,20.86
2025-12-02 18:44:34,97,21.86
2025-12-02 18:44:35,97,22.9
2025-12-02 18:44:37,94,24.85
2025-12-02 18:44:38,91,25.86
2025-12-02 18:44:39,91,26.9
2025-12-02 18:44:41,98,28.85
2025-12-02 18:44:43,101,30.85
2025-12-02 18:44:45,100,32.93
2025-12-02 18:44:47,100,34.85
2025-12-02 18:44:49,97,36.84
2025-12-02 18:44:50,97,37.84
2025-12-02 18:44:51,95,38.85
2025-12-02 18:44:52,95,39.87
2025-12-02 18:44:54,96,41.85
2025-12-02 18:44:56,95,43.84
2025-12-02 18:44:57,97,44.84
2025-12-02 18:44:58,97,45.84
2025-12-02 18:44:59,97,46.84
2025-12-02 18:45:00,97,47.84
2025-12-02 18:45:02,97,49.87
2025-12-02 18:45:04,95,51.85
2025-12-02 18:45:06,92,53.85
2025-12-02 18:45:07,91,54.85
2025-12-02 18:45:09,92,56.86
2025-12-02 18:45:11,93,58.87
2025-12-02 18:45:13,94,60.85
2025-12-02 18:45:14,94,61.85
2025-12-02 18:45:16,94,63.85
2025-12-02 18:45:17,97,64.85
2025-12-02 18:45:19,95,66.87
2025-12-02 18:45:21,93,68.86
2025-12-02 18:45:23,94,70.86
2025-12-02 18:45:25,95,72.86
2025-12-02 18:45:27,95,74.86
2025-12-02 18:45:29,95,76.86
2025-12-02 18:45:30,95,77.86
2025-12-02 18:45:31,95,78.86
2025-12-02 18:45:32,96,79.86
2025-12-02 18:45:33,96,80.86
2025-12-02 18:45:35,95,82.86
2025-12-02 18:45:36,91,83.86
2025-12-02 18:45:37,91,84.86
