timestamp_brt,heart_rate_bpm,relative_video_time
2025-12-04 16:49:15,88,0.14
2025-12-04 16:49:17,88,2.12
2025-12-04 16:49:18,89,3.12
2025-12-04 16:49:20,91,5.12
2025-12-04 16:49:21,91,6.12
2025-12-04 16:49:23,92,8.12
2025-12-04 16:49:24,91,9.12
2025-12-04 16:49:26,91,11.12
2025-12-04 16:49:27,91,12.12
2025-12-04 16:49:28,92,13.13
2025-12-04 16:49:30,94,15.12
2025-12-04 16:49:31,94,16.13
2025-12-04 16:49:33,95,18.13
2025-12-04 16:49:34,95,19.13
2025-12-04 16:49:36,93,21.13
2025-12-04 16:49:37,92,22.13
2025-12-04 16:49:38,92,23.13
2025-12-04 16:49:40,90,25.13
2025-12-04 16:49:41,88,26.13
2025-12-04 16:49:42,88,27.13
2025-12-04 16:49:44,87,29.13
2025-12-04 16:49:46,87,31.13
2025-12-04 16:49:47,87,32.13
2025-12-04 16:49:48,87,33.13
2025-12-04 16:49:50,88,35.13
2025-12-04 16:49:51,88,36.14
2025-12-04 16:49:53,88,38.13
2025-12-04 16:49:54,88,39.13
2025-12-04 16:49:56,89,41.13
2025-12-04 16:49:57,89,42.13
2025-12-04 16:49:58,88,43.13
2025-12-04 16:50:00,87,45.13
2025-12-04 16:50:01,87,46.13
2025-12-04 16:50:02,86,47.14
2025-12-04 16:50:04,86,49.15
2025-12-04 16:50:06,88,51.13
2025-12-04 16:50:07,88,52.14
2025-12-04 16:50:09,91,54.15
2025-12-04 16:50:11,91,56.14
2025-12-04 16:50:13,93,58.15
2025-12-04 16:50:15,99,60.14
2025-12-04 16:50:16,99,61.15
2025-12-04 16:50:18,100,63.15
2025-12-04 16:50:20,100,65.14
2025-12-04 16:50:21,103,66.14
2025-12-04 16:50:23,100,68.14
2025-12-04 16:50:24,100,69.14
2025-12-04 16:50:26,100,71.14
2025-12-04 16:50:28,99,73.14
2025-12-04 16:50:29,98,74.14
2025-12-04 16:50:31,97,76.14
2025-12-04 16:50:32,97,77.14
2025-12-04 16:50:33,88,78.14
2025-12-04 16:50:35,86,80.14
2025-12-04 16:50:36,86,81.14
2025-12-04 16:50:37,89,82.14
2025-12-04 16:50:38,89,83.15
2025-12-04 16:50:40,90,85.14
2025-12-04 16:50:41,91,86.15
2025-12-04 16:50:43,92,88.14
2025-12-04 16:50:44,92,89.14
2025-12-04 16:50:45,92,90.14
2025-12-04 16:50:47,90,92.14
2025-12-04 16:50:48,87,93.14
2025-12-04 16:50:49,87,94.14
2025-12-04 16:50:50,88,95.15
2025-12-04 16:50:51,88,96.15
2025-12-04 16:50:53,90,98.15
2025-12-04 16:50:54,93,99.15
2025-12-04 16:50:55,93,100.15
2025-12-04 16:50:56,91,101.16
2025-12-04 16:50:58,89,103.15
2025-12-04 16:50:59,89,104.16
2025-12-04 16:51:01,87,106.16
2025-12-04 16:51:02,86,107.16
2025-12-04 16:51:04,85,109.16
2025-12-04 16:51:06,85,111.16
2025-12-04 16:51:08,87,113.15
2025-12-04 16:51:09,87,114.15
2025-12-04 16:51:10,87,115.16
2025-12-04 16:51:12,88,117.17
2025-12-04 16:51:14,88,119.16
2025-12-04 16:51:16,87,121.16
2025-12-04 16:51:18,88,123.16
2025-12-04 16:51:20,86,125.16
2025-12-04 16:51:21,87,126.16
2025-12-04 16:51:23,88,128.16
2025-12-04 16:51:24,88,129.16
2025-12-04 16:51:25,88,130.17
2025-12-04 16:51:27,87,132.16
2025-12-04 16:51:29,87,134.17
2025-12-04 16:51:30,87,135.17
2025-12-04 16:51:31,87,136.18
2025-12-04 16:51:33,88,138.17
2025-12-04 16:51:34,90,139.17
2025-12-04 16:51:36,91,141.18
2025-12-04 16:51:38,91,143.17
2025-12-04 16:51:40,92,145.17
2025-12-04 16:51:42,92,147.17
2025-12-04 16:51:43,92,148.17
2025-12-04 16:51:44,92,149.17
2025-12-04 16:51:46,93,151.17
2025-12-04 16:51:48,94,153.17
2025-12-04 16:51:50,93,155.17
2025-12-04 16:51:51,93,156.17
2025-12-04 16:51:52,93,157.17
2025-12-04 16:51:54,92,159.17
2025-12-04 16:51:56,93,161.17
2025-12-04 16:51:57,93,162.18
2025-12-04 16:51:59,92,164.19
2025-12-04 16:52:01,92,166.19
2025-12-04 16:52:03,93,168.18
2025-12-04 16:52:05,96,170.19
2025-12-04 16:52:07,98,172.18
2025-12-04 16:52:09,97,174.2
2025-12-04 16:52:11,94,176.18
2025-12-04 16:52:12,94,177.18
2025-12-04 16:52:13,93,178.18
2025-12-04 16:52:14,93,179.18
2025-12-04 16:52:15,94,180.18
2025-12-04 16:52:16,94,181.18
2025-12-04 16:52:17,94,182.19
2025-12-04 16:52:19,95,184.19
2025-12-04 16:52:21,97,186.19
2025-12-04 16:52:22,98,187.19
2025-12-04 16:52:23,98,188.19
2025-12-04 16:52:24,96,189.19
2025-12-04 16:52:25,96,190.19
2025-12-04 16:52:26,94,191.19
2025-12-04 16:52:27,94,192.19
2025-12-04 16:52:29,94,194.19
2025-12-04 16:52:30,89,195.19
2025-12-04 16:52:32,82,197.19
2025-12-04 16:52:33,82,198.19
2025-12-04 16:52:34,80,199.19
2025-12-04 16:52:36,81,201.19
2025-12-04 16:52:37,81,202.19
2025-12-04 16:52:38,83,203.2
2025-12-04 16:52:40,84,205.2
2025-12-04 16:52:42,85,207.21
2025-12-04 16:52:43,85,208.23
2025-12-04 16:52:45,86,210.21
2025-12-04 16:52:47,88,212.21
2025-12-04 16:52:49,91,214.2
2025-12-04 16:52:50,91,215.21
2025-12-04 16:52:52,88,217.2
2025-12-04 16:52:53,90,218.21
2025-12-04 16:52:54,90,219.21
