timestamp_brt,heart_rate_bpm,relative_video_time
2026-04-19 18:31:08,106,1.48
2026-04-19 18:31:09,106,2.49
2026-04-19 18:31:11,107,4.49
2026-04-19 18:31:13,106,6.49
2026-04-19 18:31:15,105,8.49
2026-04-19 18:31:16,103,9.51
2026-04-19 18:31:18,103,11.49
2026-04-19 18:31:19,103,12.49
2026-04-19 18:31:20,103,13.5
2026-04-19 18:31:22,103,15.49
2026-04-19 18:31:23,103,16.49
2026-04-19 18:31:24,103,17.5
2026-04-19 18:31:25,103,18.5
2026-04-19 18:31:27,103,20.5
2026-04-19 18:31:29,103,22.5
2026-04-19 18:31:31,104,24.51
2026-04-19 18:31:33,102,26.51
2026-04-19 18:31:35,103,28.5
2026-04-19 18:31:36,103,29.5
2026-04-19 18:31:38,102,31.5
2026-04-19 18:31:39,102,32.5
2026-04-19 18:31:40,101,33.5
2026-04-19 18:31:42,100,35.5
2026-04-19 18:31:44,99,37.5
2026-04-19 18:31:45,99,38.51
2026-04-19 18:31:47,99,40.5
2026-04-19 18:31:48,99,41.5
2026-04-19 18:31:49,99,42.5
2026-04-19 18:31:51,98,44.5
2026-04-19 18:31:52,97,45.51
2026-04-19 18:31:53,97,46.51
2026-04-19 18:31:55,98,48.51
2026-04-19 18:31:56,97,49.51
2026-04-19 18:31:58,97,51.51
2026-04-19 18:31:59,97,52.51
2026-04-19 18:32:01,98,54.51
2026-04-19 18:32:03,97,56.52
2026-04-19 18:32:05,100,58.51
2026-04-19 18:32:07,99,60.51
2026-04-19 18:32:08,100,61.51
2026-04-19 18:32:10,100,63.51
2026-04-19 18:32:11,100,64.51
2026-04-19 18:32:12,98,65.51
2026-04-19 18:32:14,98,67.51
2026-04-19 18:32:15,98,68.52
2026-04-19 18:32:17,99,70.51
2026-04-19 18:32:18,99,71.51
2026-04-19 18:32:19,96,72.52
2026-04-19 18:32:21,94,74.52
2026-04-19 18:32:23,99,76.52
2026-04-19 18:32:25,99,78.52
2026-04-19 18:32:27,99,80.52
2026-04-19 18:32:29,100,82.52
2026-04-19 18:32:31,100,84.52
2026-04-19 18:32:32,100,85.52
2026-04-19 18:32:34,102,87.52
2026-04-19 18:32:35,103,88.52
2026-04-19 18:32:37,104,90.52
2026-04-19 18:32:39,104,92.52
2026-04-19 18:32:40,104,93.52
2026-04-19 18:32:42,105,95.52
2026-04-19 18:32:43,105,96.52
2026-04-19 18:32:45,106,98.52
2026-04-19 18:32:46,106,99.52
2026-04-19 18:32:47,106,100.52
2026-04-19 18:32:48,105,101.52
2026-04-19 18:32:50,107,103.52
2026-04-19 18:32:52,110,105.53
2026-04-19 18:32:54,109,107.53
2026-04-19 18:32:55,109,108.53
2026-04-19 18:32:57,109,110.53
2026-04-19 18:32:59,104,112.53
2026-04-19 18:33:01,102,114.52
2026-04-19 18:33:02,102,115.53
2026-04-19 18:33:03,103,116.53
2026-04-19 18:33:05,103,118.53
2026-04-19 18:33:07,103,120.53
2026-04-19 18:33:08,103,121.53
2026-04-19 18:33:09,103,122.53
2026-04-19 18:33:11,100,124.53
2026-04-19 18:33:13,100,126.53
2026-04-19 18:33:14,100,127.53
2026-04-19 18:33:15,101,128.53
2026-04-19 18:33:17,101,130.53
2026-04-19 18:33:18,101,131.54
2026-04-19 18:33:20,99,133.54
2026-04-19 18:33:22,99,135.55
2026-04-19 18:33:24,97,137.55
2026-04-19 18:33:26,98,139.54
2026-04-19 18:33:27,96,140.55
2026-04-19 18:33:29,97,142.55
2026-04-19 18:33:31,98,144.55
2026-04-19 18:33:33,98,146.54
2026-04-19 18:33:35,99,148.54
2026-04-19 18:33:37,100,150.54
2026-04-19 18:33:38,100,151.54
2026-04-19 18:33:39,101,152.54
2026-04-19 18:33:41,102,154.54
2026-04-19 18:33:43,100,156.54
2026-04-19 18:33:44,100,157.54
2026-04-19 18:33:45,100,158.54
2026-04-19 18:33:46,100,159.54
2026-04-19 18:33:47,99,160.55
2026-04-19 18:33:49,100,162.54
2026-04-19 18:33:50,100,163.54
2026-04-19 18:33:51,101,164.55
2026-04-19 18:33:53,100,166.55
2026-04-19 18:33:55,100,168.54
2026-04-19 18:33:57,103,170.55
2026-04-19 18:33:58,103,171.55
2026-04-19 18:33:59,104,172.56
2026-04-19 18:34:01,103,174.55
2026-04-19 18:34:03,103,176.55
2026-04-19 18:34:04,103,177.55
2026-04-19 18:34:05,102,178.55
2026-04-19 18:34:06,102,179.55
2026-04-19 18:34:07,101,180.56
2026-04-19 18:34:09,100,182.55
2026-04-19 18:34:10,100,183.55
2026-04-19 18:34:11,99,184.55
2026-04-19 18:34:13,99,186.55
2026-04-19 18:34:15,99,188.55
2026-04-19 18:34:17,96,190.55
2026-04-19 18:34:19,95,192.55
2026-04-19 18:34:20,95,193.56
2026-04-19 18:34:22,96,195.56
2026-04-19 18:34:24,95,197.56
2026-04-19 18:34:25,95,198.56
2026-04-19 18:34:27,95,200.56
2026-04-19 18:34:29,95,202.56
2026-04-19 18:34:30,95,203.56
2026-04-19 18:34:31,95,204.56
2026-04-19 18:34:33,95,206.56
2026-04-19 18:34:35,95,208.56
2026-04-19 18:34:36,95,209.56
2026-04-19 18:34:37,95,210.56
2026-04-19 18:34:39,96,212.56
2026-04-19 18:34:40,96,213.56
2026-04-19 18:34:41,93,214.56
2026-04-19 18:34:42,93,215.56
2026-04-19 18:34:44,94,217.56
2026-04-19 18:34:46,96,219.57
2026-04-19 18:34:48,99,221.56
2026-04-19 18:34:50,99,223.56
2026-04-19 18:34:52,99,225.57
2026-04-19 18:34:54,99,227.57
2026-04-19 18:34:56,95,229.57
2026-04-19 18:34:58,96,231.56
2026-04-19 18:35:00,95,233.56
2026-04-19 18:35:01,95,234.57
2026-04-19 18:35:03,96,236.57
2026-04-19 18:35:04,96,237.57
2026-04-19 18:35:05,96,238.57
2026-04-19 18:35:07,99,240.57
2026-04-19 18:35:08,101,241.57
2026-04-19 18:35:10,101,243.57
2026-04-19 18:35:11,100,244.57
2026-04-19 18:35:13,98,246.58
2026-04-19 18:35:15,98,248.58
2026-04-19 18:35:17,98,250.58
2026-04-19 18:35:19,103,252.58
2026-04-19 18:35:21,102,254.59
2026-04-19 18:35:23,100,256.58
2026-04-19 18:35:24,100,257.58
2026-04-19 18:35:26,101,259.59
2026-04-19 18:35:28,98,261.59
2026-04-19 18:35:30,97,263.58
2026-04-19 18:35:31,97,264.58
2026-04-19 18:35:32,97,265.58
2026-04-19 18:35:34,97,267.58
2026-04-19 18:35:35,97,268.58
2026-04-19 18:35:37,100,270.58
2026-04-19 18:35:39,101,272.59
2026-04-19 18:35:41,102,274.58
2026-04-19 18:35:42,102,275.58
2026-04-19 18:35:44,103,277.58
2026-04-19 18:35:45,103,278.59
2026-04-19 18:35:46,103,279.59
2026-04-19 18:35:47,103,280.59
2026-04-19 18:35:49,103,282.59
2026-04-19 18:35:50,103,283.59
2026-04-19 18:35:51,103,284.59
2026-04-19 18:35:53,102,286.59
2026-04-19 18:35:54,102,287.59
2026-04-19 18:35:55,98,288.59
2026-04-19 18:35:57,95,290.59
2026-04-19 18:35:59,94,292.59
2026-04-19 18:36:01,94,294.59
2026-04-19 18:36:02,94,295.6
2026-04-19 18:36:04,96,297.6
2026-04-19 18:36:06,97,299.6
2026-04-19 18:36:07,97,300.6
2026-04-19 18:36:09,98,302.6
2026-04-19 18:36:10,99,303.6
2026-04-19 18:36:12,99,305.6
2026-04-19 18:36:14,99,307.6
2026-04-19 18:36:15,99,308.6
2026-04-19 18:36:16,99,309.6
2026-04-19 18:36:17,99,310.6
2026-04-19 18:36:18,98,311.6
2026-04-19 18:36:20,98,313.61
2026-04-19 18:36:22,98,315.61
2026-04-19 18:36:24,98,317.61
2026-04-19 18:36:26,97,319.61
2026-04-19 18:36:28,96,321.61
2026-04-19 18:36:29,96,322.61
2026-04-19 18:36:31,97,324.61
2026-04-19 18:36:33,99,326.61
2026-04-19 18:36:34,99,327.61
2026-04-19 18:36:35,99,328.61
2026-04-19 18:36:36,99,329.61
2026-04-19 18:36:38,100,331.61
2026-04-19 18:36:39,99,332.61
2026-04-19 18:36:40,99,333.61
2026-04-19 18:36:42,100,335.61
2026-04-19 18:36:43,100,336.61
2026-04-19 18:36:45,100,338.61
2026-04-19 18:36:46,100,339.61
2026-04-19 18:36:47,101,340.62
