timestamp_brt,heart_rate_bpm,relative_video_time
2026-05-02 19:38:39,89,1.21
2026-05-02 19:38:40,89,2.22
2026-05-02 19:38:42,90,4.21
2026-05-02 19:38:44,89,6.21
2026-05-02 19:38:45,89,7.21
2026-05-02 19:38:46,89,8.21
2026-05-02 19:38:48,88,10.21
2026-05-02 19:38:49,89,11.21
2026-05-02 19:38:50,89,12.21
2026-05-02 19:38:51,89,13.22
2026-05-02 19:38:53,88,15.22
2026-05-02 19:38:55,89,17.22
2026-05-02 19:38:57,90,19.23
2026-05-02 19:38:59,91,21.22
2026-05-02 19:39:00,91,22.22
2026-05-02 19:39:01,90,23.22
2026-05-02 19:39:02,90,24.22
2026-05-02 19:39:04,90,26.22
2026-05-02 19:39:05,91,27.22
2026-05-02 19:39:07,90,29.22
2026-05-02 19:39:08,90,30.22
2026-05-02 19:39:09,90,31.23
2026-05-02 19:39:11,90,33.23
2026-05-02 19:39:12,90,34.23
2026-05-02 19:39:14,91,36.23
2026-05-02 19:39:16,92,38.23
2026-05-02 19:39:17,92,39.23
2026-05-02 19:39:19,93,41.23
2026-05-02 19:39:21,93,43.23
2026-05-02 19:39:22,93,44.23
2026-05-02 19:39:24,95,46.23
2026-05-02 19:39:25,98,47.23
2026-05-02 19:39:26,98,48.23
2026-05-02 19:39:27,98,49.23
2026-05-02 19:39:29,96,51.23
2026-05-02 19:39:30,96,52.23
2026-05-02 19:39:32,94,54.23
2026-05-02 19:39:34,97,56.23
2026-05-02 19:39:35,97,57.24
2026-05-02 19:39:36,96,58.24
2026-05-02 19:39:37,96,59.24
2026-05-02 19:39:38,97,60.24
2026-05-02 19:39:40,97,62.24
2026-05-02 19:39:41,97,63.24
2026-05-02 19:39:42,96,64.24
2026-05-02 19:39:43,96,65.24
2026-05-02 19:39:45,96,67.24
2026-05-02 19:39:46,96,68.24
2026-05-02 19:39:47,96,69.24
2026-05-02 19:39:49,96,71.24
2026-05-02 19:39:50,94,72.24
2026-05-02 19:39:52,94,74.24
2026-05-02 19:39:54,95,76.25
2026-05-02 19:39:56,94,78.24
2026-05-02 19:39:57,94,79.25
2026-05-02 19:39:59,93,81.25
2026-05-02 19:40:00,94,82.25
2026-05-02 19:40:02,94,84.24
2026-05-02 19:40:03,94,85.25
2026-05-02 19:40:05,94,87.25
2026-05-02 19:40:06,93,88.25
2026-05-02 19:40:08,92,90.26
2026-05-02 19:40:10,91,92.26
2026-05-02 19:40:12,91,94.25
2026-05-02 19:40:13,91,95.26
2026-05-02 19:40:15,90,97.26
2026-05-02 19:40:16,90,98.26
2026-05-02 19:40:18,90,100.26
2026-05-02 19:40:20,91,102.27
2026-05-02 19:40:22,91,104.26
2026-05-02 19:40:23,91,105.26
2026-05-02 19:40:24,91,106.26
2026-05-02 19:40:25,90,107.26
2026-05-02 19:40:26,90,108.26
2026-05-02 19:40:27,89,109.27
2026-05-02 19:40:29,90,111.26
2026-05-02 19:40:30,90,112.27
2026-05-02 19:40:32,91,114.27
2026-05-02 19:40:34,93,116.27
2026-05-02 19:40:35,94,117.27
2026-05-02 19:40:36,94,118.27
2026-05-02 19:40:37,94,119.27
2026-05-02 19:40:39,94,121.27
2026-05-02 19:40:40,94,122.27
2026-05-02 19:40:42,95,124.27
2026-05-02 19:40:43,95,125.27
2026-05-02 19:40:44,95,126.28
2026-05-02 19:40:46,93,128.27
2026-05-02 19:40:47,93,129.27
2026-05-02 19:40:49,94,131.27
2026-05-02 19:40:50,95,132.28
2026-05-02 19:40:51,95,133.28
2026-05-02 19:40:53,97,135.29
2026-05-02 19:40:55,96,137.29
2026-05-02 19:40:57,96,139.29
2026-05-02 19:40:59,96,141.28
2026-05-02 19:41:01,96,143.28
2026-05-02 19:41:02,95,144.28
2026-05-02 19:41:04,94,146.28
2026-05-02 19:41:06,94,148.28
2026-05-02 19:41:08,93,150.28
2026-05-02 19:41:10,92,152.29
2026-05-02 19:41:11,92,153.29
2026-05-02 19:41:13,92,155.29
2026-05-02 19:41:15,93,157.28
2026-05-02 19:41:16,93,158.29
2026-05-02 19:41:17,93,159.29
2026-05-02 19:41:18,93,160.29
2026-05-02 19:41:19,92,161.29
2026-05-02 19:41:20,92,162.29
2026-05-02 19:41:22,91,164.29
2026-05-02 19:41:23,91,165.29
2026-05-02 19:41:25,92,167.29
2026-05-02 19:41:26,92,168.29
2026-05-02 19:41:28,91,170.29
2026-05-02 19:41:30,91,172.29
2026-05-02 19:41:31,91,173.29
2026-05-02 19:41:33,90,175.29
2026-05-02 19:41:34,90,176.29
2026-05-02 19:41:36,90,178.3
2026-05-02 19:41:38,90,180.3
2026-05-02 19:41:39,91,181.3
2026-05-02 19:41:40,91,182.3
2026-05-02 19:41:41,90,183.3
2026-05-02 19:41:42,90,184.3
2026-05-02 19:41:44,89,186.3
2026-05-02 19:41:46,88,188.3
2026-05-02 19:41:48,89,190.3
2026-05-02 19:41:49,89,191.3
2026-05-02 19:41:50,90,192.3
2026-05-02 19:41:52,90,194.3
2026-05-02 19:41:53,90,195.3
2026-05-02 19:41:55,90,197.3
2026-05-02 19:41:56,91,198.31
2026-05-02 19:41:58,91,200.3
2026-05-02 19:41:59,91,201.31
2026-05-02 19:42:01,89,203.31
2026-05-02 19:42:02,91,204.31
2026-05-02 19:42:03,91,205.31
2026-05-02 19:42:05,90,207.31
2026-05-02 19:42:06,91,208.31
2026-05-02 19:42:08,92,210.31
2026-05-02 19:42:09,92,211.31
2026-05-02 19:42:11,92,213.31
2026-05-02 19:42:12,93,214.31
2026-05-02 19:42:14,93,216.31
2026-05-02 19:42:15,93,217.31
2026-05-02 19:42:17,95,219.31
2026-05-02 19:42:18,95,220.31
2026-05-02 19:42:20,95,222.31
2026-05-02 19:42:21,95,223.31
2026-05-02 19:42:23,95,225.31
2026-05-02 19:42:24,95,226.31
2026-05-02 19:42:26,94,228.31
2026-05-02 19:42:28,93,230.31
2026-05-02 19:42:29,93,231.31
2026-05-02 19:42:31,92,233.32
2026-05-02 19:42:33,90,235.32
2026-05-02 19:42:34,90,236.32
2026-05-02 19:42:36,90,238.32
2026-05-02 19:42:38,90,240.32
2026-05-02 19:42:39,90,241.32
2026-05-02 19:42:40,90,242.32
2026-05-02 19:42:41,90,243.32
2026-05-02 19:42:43,91,245.32
2026-05-02 19:42:44,91,246.32
2026-05-02 19:42:46,92,248.32
2026-05-02 19:42:47,92,249.32
2026-05-02 19:42:49,92,251.32
2026-05-02 19:42:51,92,253.33
2026-05-02 19:42:53,93,255.32
2026-05-02 19:42:55,95,257.33
2026-05-02 19:42:57,96,259.33
2026-05-02 19:42:59,99,261.32
2026-05-02 19:43:00,99,262.32
2026-05-02 19:43:01,98,263.33
2026-05-02 19:43:02,98,264.33
2026-05-02 19:43:03,93,265.33
2026-05-02 19:43:05,92,267.33
2026-05-02 19:43:06,92,268.33
2026-05-02 19:43:07,92,269.33
2026-05-02 19:43:08,91,270.33
2026-05-02 19:43:09,91,271.33
2026-05-02 19:43:11,90,273.33
2026-05-02 19:43:12,90,274.34
2026-05-02 19:43:14,90,276.33
2026-05-02 19:43:16,91,278.34
2026-05-02 19:43:17,91,279.34
2026-05-02 19:43:18,94,280.34
2026-05-02 19:43:20,96,282.33
2026-05-02 19:43:21,96,283.34
2026-05-02 19:43:23,95,285.34
2026-05-02 19:43:25,96,287.35
2026-05-02 19:43:27,95,289.35
2026-05-02 19:43:29,94,291.34
2026-05-02 19:43:31,93,293.34
2026-05-02 19:43:32,92,294.34
2026-05-02 19:43:34,93,296.34
2026-05-02 19:43:35,93,297.34
2026-05-02 19:43:37,93,299.34
2026-05-02 19:43:38,93,300.34
2026-05-02 19:43:39,93,301.34
2026-05-02 19:43:40,92,302.35
2026-05-02 19:43:42,92,304.34
2026-05-02 19:43:43,92,305.35
2026-05-02 19:43:45,92,307.35
2026-05-02 19:43:47,92,309.35
2026-05-02 19:43:49,92,311.35
2026-05-02 19:43:51,93,313.35
2026-05-02 19:43:53,93,315.34
2026-05-02 19:43:54,93,316.35
2026-05-02 19:43:55,95,317.35
2026-05-02 19:43:57,96,319.34
2026-05-02 19:43:58,96,320.35
2026-05-02 19:44:00,95,322.35
2026-05-02 19:44:01,94,323.35
2026-05-02 19:44:03,93,325.35
2026-05-02 19:44:05,93,327.35
2026-05-02 19:44:06,93,328.35
2026-05-02 19:44:08,91,330.35
2026-05-02 19:44:10,91,332.35
2026-05-02 19:44:12,91,334.35
2026-05-02 19:44:13,91,335.35
2026-05-02 19:44:14,91,336.35
2026-05-02 19:44:15,91,337.35
2026-05-02 19:44:16,92,338.35
2026-05-02 19:44:18,92,340.36
2026-05-02 19:44:20,93,342.36
2026-05-02 19:44:22,93,344.36
2026-05-02 19:44:23,93,345.36
2026-05-02 19:44:25,93,347.36
2026-05-02 19:44:27,89,349.36
2026-05-02 19:44:28,88,350.36
2026-05-02 19:44:29,88,351.36
2026-05-02 19:44:31,87,353.36
2026-05-02 19:44:32,87,354.36
2026-05-02 19:44:34,90,356.36
2026-05-02 19:44:36,90,358.36
2026-05-02 19:44:38,89,360.37
2026-05-02 19:44:40,89,362.36
2026-05-02 19:44:42,87,364.37
2026-05-02 19:44:43,87,365.37
2026-05-02 19:44:45,88,367.37
2026-05-02 19:44:47,89,369.37
2026-05-02 19:44:49,91,371.37
2026-05-02 19:44:50,91,372.38
2026-05-02 19:44:52,90,374.37
2026-05-02 19:44:53,91,375.37
2026-05-02 19:44:55,98,377.37
2026-05-02 19:44:56,98,378.37
2026-05-02 19:44:57,105,379.37
2026-05-02 19:44:59,102,381.37
2026-05-02 19:45:00,102,382.38
2026-05-02 19:45:01,99,383.38
2026-05-02 19:45:02,99,384.38
2026-05-02 19:45:04,97,386.39
2026-05-02 19:45:06,95,388.38
2026-05-02 19:45:08,96,390.38
2026-05-02 19:45:09,96,391.39
2026-05-02 19:45:11,97,393.39
2026-05-02 19:45:13,98,395.38
2026-05-02 19:45:14,97,396.38
2026-05-02 19:45:16,88,398.38
2026-05-02 19:45:17,88,399.39
2026-05-02 19:45:18,88,400.39
2026-05-02 19:45:20,88,402.39
2026-05-02 19:45:21,88,403.39
2026-05-02 19:45:22,89,404.39
2026-05-02 19:45:24,90,406.39
2026-05-02 19:45:26,91,408.39
2026-05-02 19:45:28,93,410.39
2026-05-02 19:45:29,93,411.39
2026-05-02 19:45:31,92,413.39
2026-05-02 19:45:32,92,414.39
2026-05-02 19:45:34,90,416.39
2026-05-02 19:45:35,89,417.39
2026-05-02 19:45:37,88,419.39
2026-05-02 19:45:39,88,421.39
2026-05-02 19:45:41,88,423.4
2026-05-02 19:45:42,88,424.42
2026-05-02 19:45:44,86,426.4
2026-05-02 19:45:45,86,427.4
2026-05-02 19:45:47,86,429.4
2026-05-02 19:45:48,86,430.4
2026-05-02 19:45:50,86,432.4
2026-05-02 19:45:52,86,434.4
2026-05-02 19:45:53,87,435.4
2026-05-02 19:45:54,87,436.4
2026-05-02 19:45:55,86,437.4
2026-05-02 19:45:57,86,439.4
2026-05-02 19:45:58,86,440.4
2026-05-02 19:45:59,85,441.4
2026-05-02 19:46:00,85,442.4
2026-05-02 19:46:01,85,443.41
2026-05-02 19:46:02,86,444.41
2026-05-02 19:46:03,86,445.41
2026-05-02 19:46:05,86,447.41
2026-05-02 19:46:06,87,448.41
2026-05-02 19:46:08,88,450.41
2026-05-02 19:46:09,88,451.41
2026-05-02 19:46:11,88,453.41
2026-05-02 19:46:12,88,454.42
2026-05-02 19:46:14,88,456.41
2026-05-02 19:46:15,88,457.42
2026-05-02 19:46:17,88,459.42
2026-05-02 19:46:19,88,461.42
2026-05-02 19:46:20,90,462.42
2026-05-02 19:46:22,91,464.42
2026-05-02 19:46:23,91,465.43
