timestamp_brt,heart_rate_bpm,relative_video_time
2025-11-26 13:37:37,101,0.08
2025-11-26 13:37:39,100,2.09
2025-11-26 13:37:41,97,4.09
2025-11-26 13:37:43,96,6.09
2025-11-26 13:37:44,97,7.09
2025-11-26 13:37:46,101,9.09
2025-11-26 13:37:48,105,11.1
2025-11-26 13:37:50,109,13.1
2025-11-26 13:37:52,111,15.09
2025-11-26 13:37:53,111,16.09
2025-11-26 13:37:55,112,18.1
2025-11-26 13:37:57,113,20.09
2025-11-26 13:37:58,111,21.09
2025-11-26 13:37:59,111,22.1
2025-11-26 13:38:01,110,24.09
2025-11-26 13:38:03,109,26.11
2025-11-26 13:38:05,109,28.11
2025-11-26 13:38:07,109,30.1
2025-11-26 13:38:09,109,32.11
2025-11-26 13:38:11,109,34.1
2025-11-26 13:38:12,109,35.1
2025-11-26 13:38:14,101,37.1
2025-11-26 13:38:16,95,39.11
2025-11-26 13:38:18,95,41.1
2025-11-26 13:38:19,96,42.1
2025-11-26 13:38:20,96,43.1
2025-11-26 13:38:21,100,44.1
2025-11-26 13:38:23,104,46.1
2025-11-26 13:38:24,104,47.1
2025-11-26 13:38:25,105,48.1
2025-11-26 13:38:26,105,49.1
2025-11-26 13:38:28,105,51.1
2025-11-26 13:38:29,104,52.1
2025-11-26 13:38:31,105,54.1
2025-11-26 13:38:32,105,55.1
2025-11-26 13:38:33,107,56.1
2025-11-26 13:38:35,106,58.1
2025-11-26 13:38:36,106,59.11
2025-11-26 13:38:38,101,61.1
2025-11-26 13:38:40,100,63.11
2025-11-26 13:38:42,91,65.1
2025-11-26 13:38:43,86,66.1
2025-11-26 13:38:44,86,67.11
2025-11-26 13:38:45,88,68.11
2025-11-26 13:38:47,92,70.11
2025-11-26 13:38:48,92,71.11
2025-11-26 13:38:50,93,73.11
2025-11-26 13:38:51,93,74.11
2025-11-26 13:38:52,93,75.11
2025-11-26 13:38:53,88,76.11
2025-11-26 13:38:55,84,78.11
2025-11-26 13:38:57,84,80.11
2025-11-26 13:38:58,84,81.11
2025-11-26 13:39:00,85,83.12
2025-11-26 13:39:01,86,84.12
2025-11-26 13:39:03,87,86.11
2025-11-26 13:39:04,87,87.11
2025-11-26 13:39:05,88,88.12
2025-11-26 13:39:07,86,90.11
2025-11-26 13:39:08,86,91.12
2025-11-26 13:39:10,85,93.12
2025-11-26 13:39:11,86,94.12
2025-11-26 13:39:13,86,96.13
2025-11-26 13:39:15,89,98.12
2025-11-26 13:39:16,89,99.12
2025-11-26 13:39:17,89,100.12
2025-11-26 13:39:18,88,101.12
2025-11-26 13:39:19,88,102.12
2025-11-26 13:39:21,87,104.12
2025-11-26 13:39:22,88,105.13
2025-11-26 13:39:24,89,107.12
2025-11-26 13:39:25,89,108.12
2025-11-26 13:39:26,89,109.13
2025-11-26 13:39:28,90,111.12
2025-11-26 13:39:29,90,112.12
2025-11-26 13:39:31,92,114.13
2025-11-26 13:39:32,95,115.13
2025-11-26 13:39:34,97,117.12
2025-11-26 13:39:35,97,118.13
2025-11-26 13:39:37,97,120.13
2025-11-26 13:39:39,97,122.13
2025-11-26 13:39:41,97,124.13
2025-11-26 13:39:43,99,126.13
2025-11-26 13:39:44,101,127.13
2025-11-26 13:39:45,101,128.13
2025-11-26 13:39:47,100,130.14
2025-11-26 13:39:49,100,132.13
2025-11-26 13:39:50,98,133.13
2025-11-26 13:39:52,95,135.14
2025-11-26 13:39:53,95,136.14
2025-11-26 13:39:55,95,138.14
2025-11-26 13:39:57,97,140.14
2025-11-26 13:39:58,98,141.14
2025-11-26 13:40:00,96,143.14
2025-11-26 13:40:02,94,145.14
2025-11-26 13:40:03,94,146.14
2025-11-26 13:40:04,93,147.15
2025-11-26 13:40:05,93,148.15
2025-11-26 13:40:06,93,149.16
2025-11-26 13:40:08,94,151.15
2025-11-26 13:40:09,94,152.15
2025-11-26 13:40:11,94,154.14
2025-11-26 13:40:12,94,155.14
2025-11-26 13:40:13,94,156.15
2025-11-26 13:40:14,94,157.15
2025-11-26 13:40:16,95,159.16
2025-11-26 13:40:18,97,161.15
2025-11-26 13:40:19,97,162.16
2025-11-26 13:40:21,95,164.15
2025-11-26 13:40:23,93,166.15
2025-11-26 13:40:25,92,168.15
2025-11-26 13:40:27,90,170.16
2025-11-26 13:40:29,89,172.15
2025-11-26 13:40:30,89,173.15
2025-11-26 13:40:31,89,174.15
2025-11-26 13:40:32,89,175.15
2025-11-26 13:40:33,90,176.15
2025-11-26 13:40:34,90,177.15
2025-11-26 13:40:35,89,178.16
2025-11-26 13:40:36,89,179.16
2025-11-26 13:40:38,89,181.16
2025-11-26 13:40:40,87,183.16
2025-11-26 13:40:41,88,184.16
2025-11-26 13:40:42,88,185.16
2025-11-26 13:40:44,90,187.16
2025-11-26 13:40:46,91,189.16
2025-11-26 13:40:48,92,191.17
2025-11-26 13:40:50,93,193.17
2025-11-26 13:40:52,93,195.16
2025-11-26 13:40:53,92,196.16
2025-11-26 13:40:54,91,197.16
2025-11-26 13:40:56,90,199.17
2025-11-26 13:40:58,90,201.16
2025-11-26 13:40:59,90,202.16
2025-11-26 13:41:00,91,203.17
2025-11-26 13:41:02,94,205.17
2025-11-26 13:41:03,94,206.17
2025-11-26 13:41:05,95,208.17
2025-11-26 13:41:06,95,209.17
2025-11-26 13:41:08,93,211.17
2025-11-26 13:41:10,92,213.17
2025-11-26 13:41:12,89,215.17
2025-11-26 13:41:14,87,217.17
2025-11-26 13:41:15,87,218.17
2025-11-26 13:41:16,87,219.17
2025-11-26 13:41:18,87,221.17
2025-11-26 13:41:20,87,223.17
2025-11-26 13:41:22,87,225.19
2025-11-26 13:41:24,87,227.18
2025-11-26 13:41:25,87,228.18
2025-11-26 13:41:27,87,230.17
2025-11-26 13:41:28,87,231.18
2025-11-26 13:41:30,85,233.18
2025-11-26 13:41:32,84,235.19
2025-11-26 13:41:34,89,237.18
2025-11-26 13:41:36,93,239.19
2025-11-26 13:41:38,99,241.19
2025-11-26 13:41:40,101,243.18
2025-11-26 13:41:41,102,244.18
2025-11-26 13:41:43,101,246.18
2025-11-26 13:41:45,100,248.19
2025-11-26 13:41:47,98,250.18
2025-11-26 13:41:48,98,251.18
2025-11-26 13:41:49,95,252.18
2025-11-26 13:41:50,95,253.19
2025-11-26 13:41:51,93,254.19
2025-11-26 13:41:52,93,255.19
2025-11-26 13:41:54,93,257.19
2025-11-26 13:41:55,92,258.19
2025-11-26 13:41:57,89,260.19
2025-11-26 13:41:58,89,261.19
2025-11-26 13:41:59,88,262.19
