experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,global,all,10334,9614,720,0.9303270756725373,16.241597133737258,0.12070459130147802,20.09630802161794,0.12070459130147802,18.616718769473255,0.14296943213515345,-0.013083577895903396,0.010198961314795297,13.984375,11.835206742812872
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_0,752,665,87,0.8843085106382979,17.738480968045113,0.4882107543965719,21.75215586154235,0.4882107543965719,17.909532510305162,0.48678166271960616,0.038423897385346184,0.038808102046856356,15.109375,12.589780680025068
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_1,765,687,78,0.8980392156862745,14.981577510917031,0.43718614114709514,18.861472841144515,0.43718614114709514,16.702581258282898,0.4955305287791133,-0.06840170085343864,0.038118547458182196,13.53515625,11.458948163841972
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_2,704,684,20,0.9715909090909091,17.442377101608187,0.5243200163306179,22.187293006353077,0.5243200163306179,24.55004842111794,0.7469074977771506,0.09894450038564775,0.03810407852654283,13.8046875,13.712747791564553
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_3,781,755,26,0.9667093469910372,14.438493377483443,0.3978665036999472,18.11035327817435,0.3978665036999472,16.397961665364488,0.45297177185160425,0.051450571149806536,0.03639375993111252,12.625,10.932282691581259
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_4,724,703,21,0.9709944751381215,19.48748110775249,0.47690246815591986,23.230355199838325,0.47690246815591986,19.57348505321951,0.4670475568188688,0.05533931250036409,0.03771160101236509,17.74609375,12.644662225051539
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_5,679,666,13,0.9808541973490427,15.330476961336336,0.3670989832432744,18.02150914190862,0.3670989832432744,16.600524061580966,0.3966642651790192,0.06463459064645699,0.038726379697511755,15.123046875,9.473714577177832
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_6,725,709,16,0.9779310344827586,15.650217075105783,0.40181512336362,18.957878794654505,0.40181512336362,17.226189420820173,0.43765249688336394,-0.001382108029523986,0.03760883480155541,13.53515625,10.69915295221441
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_7,780,698,82,0.8948717948717949,18.83472868911175,0.4823202183744428,22.74037586196153,0.4823202183744428,19.07852878208831,0.48858308420767543,0.011351334508358344,0.037902460023975744,17.443359375,12.742750470398201
FactorizePhys_UBFC-rPPG,FactorizePhys,UBFC-rPPG,UBFC-rPPG_FactorizePhys_FSAM_Res.pth,subject_id,person_8,796,742,54,0.9321608040201005,19.209431856469003,0.5114002421299262,23.728836598641582,0.5114002421299262,27.083945516451035,0.7317115931184712,0.0022370056220075273,0.03676063912565749,16.638671875,13.93037738457598
