experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,global,all,10334,9616,718,0.9305206115734469,15.724848234712978,0.12000494672033583,19.640587274292987,0.12000494672033583,17.87651055865331,0.13671480623415957,-0.01876055642809172,0.010196978434982892,13.4375,11.767829726604807
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_0,752,665,87,0.8843085106382979,19.77075892857143,0.5303803125579519,24.040582087749435,0.5303803125579519,19.948152579749394,0.5288790788540978,0.017810921912527384,0.0388306213048543,17.7421875,13.677232121527078
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_1,765,687,78,0.8980392156862745,14.77428470705968,0.3926773492418183,18.005882303365908,0.3926773492418183,16.386534335509158,0.43379089219407785,0.05079827056552454,0.038158706915220296,13.6875,10.292342246418357
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_2,704,686,18,0.9744318181818182,16.75874066144315,0.45246807974871145,20.525553822171705,0.45246807974871145,23.598135299910627,0.6487252076086737,0.010633755086997234,0.0382337937852317,14.68359375,11.85086373009831
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_3,781,757,24,0.969270166453265,13.826329260237781,0.4137508305011977,17.909718628890115,0.4137508305011977,15.74896855401828,0.4703334577212254,-0.07493334268595941,0.036291406936386404,10.65625,11.383788497398664
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_4,724,701,23,0.9682320441988951,20.42013641226819,0.5197116101913332,24.62361024892119,0.5197116101913332,20.40206468204776,0.5013640828508981,-0.047872000227542816,0.037780108299348004,18.53125,13.760094861414853
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_5,679,663,16,0.9764359351988218,14.625565610859729,0.41232277288565894,18.072737623590992,0.41232277288565894,15.788335566688719,0.44367573772804364,0.07028641481509337,0.038799297759690765,13.26171875,10.616810998298815
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_6,725,710,15,0.9793103448275862,13.19612676056338,0.42914454978050653,17.461241168695302,0.42914454978050653,14.343472275115507,0.4499811494508141,-0.09689613046223595,0.037405457846375265,9.3984375,11.434910654241365
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_7,780,697,83,0.8935897435897436,19.332092898134864,0.4874156999442007,23.22324135031384,0.4874156999442007,19.49508204963528,0.4854122720231125,0.041541820473232634,0.03789941775813217,16.89453125,12.86814372754712
PhysMamba_UBFC-rPPG,PhysMamba,UBFC-rPPG,UBFC-rPPG_PhysMamba_DiffNormalized.pth,subject_id,person_8,796,742,54,0.9321608040201005,16.164425749663074,0.45781647042137824,20.41589657334388,0.45781647042137824,22.721050353998407,0.6453680922307057,0.10784547521334054,0.03654633034182866,12.859375,12.470772753807353
