experiment_id,model_name,pretrain_dataset,checkpoint_name,subject_id,video_name,video_dir,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_0,person_0,dataset/person_0,752,664,88,0.8829787234042553,32.141436841114455,0.6110029736690282,35.790494814630044,0.6110029736690282,32.489849065151574,0.6127040887547361,0.050810322817613246,0.03881590119969348,33.9609375,15.744445270148784
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_1,person_1,dataset/person_1,765,684,81,0.8941176470588236,24.36072848135965,0.5072637335645538,27.738954107701773,0.5072637335645538,27.03765666107985,0.5602903834917409,0.04850853919989751,0.03824690050548769,23.8671875,13.266668113986187
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_2,person_2,dataset/person_2,704,684,20,0.9715909090909091,15.654348273026315,0.44144197136366725,19.4512311560196,0.44144197136366725,21.859097521146396,0.6192879540069874,0.05382608441928491,0.03823646814931857,13.021484375,11.545205655669609
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_3,person_3,dataset/person_3,781,755,26,0.9667093469910372,23.550838162251654,0.4534174302530253,26.643206254461905,0.4534174302530253,26.713606601833366,0.5101338681624361,0.06355221095197547,0.03636835884680502,24.4765625,12.45867012859836
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_4,person_4,dataset/person_4,724,702,22,0.9696132596685083,32.677272524928775,0.6051896752485921,36.39937951220827,0.6051896752485921,32.73502993681394,0.5789761904625687,-0.03455037358647348,0.03777388121979515,34.279296875,16.034671471698523
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_5,person_5,dataset/person_5,679,664,15,0.9779086892488954,27.683229009789155,0.5837560077009752,31.506081368877776,0.5837560077009752,29.895750229344262,0.6198212037198378,-0.025151253619280875,0.03885380870413855,27.71875,15.042340071076556
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_6,person_6,dataset/person_6,725,709,16,0.9779310344827586,22.076764148448518,0.5416832191050299,26.37079442407743,0.5416832191050299,24.241300578687465,0.5820954278013938,0.013417885679050227,0.037605485025757814,22.32421875,14.423428278004208
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_7,person_7,dataset/person_7,780,698,82,0.8948717948717949,43.853515625,0.9352585506992106,50.3356474600059,0.9352585506992106,44.38688365615648,0.9526698678670806,0.029701107494021762,0.03788817947572961,41.35546875,24.709240630700886
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_8,person_8,dataset/person_8,796,740,56,0.9296482412060302,14.672994087837838,0.41569499130992643,18.524861041147982,0.41569499130992643,20.576073466131128,0.5864158965829281,0.10768793168767644,0.03659644623721731,12.11328125,11.308126329862002
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_9,person_9,dataset/person_9,660,643,17,0.9742424242424242,26.648346374416796,0.6023949764271336,30.715891920853295,0.6023949764271336,29.146321224191457,0.6489798073919183,0.003345287350976264,0.039497404268125244,27.234375,15.275197281955082
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_10,person_10,dataset/person_10,769,602,167,0.7828348504551366,26.026441808554818,0.7332189000518097,31.638850585329234,0.7332189000518097,28.69373476040931,0.8066429434887931,0.07232051603998205,0.040717926906947484,26.4453125,17.99003038203932
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_11,person_11,dataset/person_11,688,651,37,0.9462209302325582,20.177665370583718,0.46496972385972607,23.40688627990453,0.46496972385972607,24.190978479922183,0.5454881073169645,-0.009840427127699948,0.03925153301931827,19.9609375,11.863563777934926
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_12,person_12,dataset/person_12,568,508,60,0.8943661971830986,19.396530511811022,0.5423822974735942,22.92745303462391,0.5423822974735942,22.57254177355204,0.6250185214859987,-0.11310116824690204,0.04417017320624334,18.017578125,12.224676141283625
EfficientPhys_SCAMPS,EfficientPhys,SCAMPS,SCAMPS_EfficientPhys.pth,person_13,person_13,dataset/person_13,943,899,44,0.953340402969247,22.5755526974416,0.47174225888950316,26.640565342651694,0.47174225888950316,25.968523262533296,0.5306760331232033,-0.04855542184551809,0.033349645468179916,22.59765625,14.144403210497492
