experiment_id,model_name,pretrain_dataset,checkpoint_name,group_by,group_value,n_total_events,n_valid_events,n_invalid_events,coverage_rate,MAE,MAE_std_err,RMSE,RMSE_std_err,MAPE,MAPE_std_err,Pearson,Pearson_std_err,median_abs_error,std_abs_error
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,global,all,10334,9616,718,0.9305206115734469,16.04776584923565,0.12404186930942204,20.13668965342639,0.12404186930942204,18.53144998406116,0.15056593075597557,-0.003257687614256138,0.010198719247774444,13.50390625,12.163695221704442
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_0,752,665,87,0.8843085106382979,15.356896146616542,0.4414605514921969,19.116338367383264,0.4414605514921969,15.544568087074097,0.44287506541170335,0.07037787066191627,0.038740482319124435,14.5,11.384205432015158
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_1,765,687,78,0.8980392156862745,16.125301355531295,0.4585922551688428,20.112338357903088,0.4585922551688428,17.910848975120643,0.5085027484269393,0.030843025398688727,0.03818985816729789,13.62109375,12.020017072204203
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_2,704,686,18,0.9744318181818182,18.23407889941691,0.4999087849804446,22.44814169401087,0.4999087849804446,25.67366430937163,0.7162228790033252,0.05929154980941553,0.03816868745361275,14.6328125,13.093411786246866
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_3,781,757,24,0.969270166453265,14.524366330911493,0.4190239923127307,18.543789112738686,0.4190239923127307,16.565631325868182,0.4821413664873377,-0.13668102289371892,0.03605217517811942,11.9296875,11.528872336148511
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_4,724,701,23,0.9682320441988951,18.121205197931527,0.45894559025169446,21.818121991784384,0.45894559025169446,18.17875306152652,0.44816885480500807,0.05502951877403533,0.03776616087320574,17.2265625,12.151229132184318
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_5,679,663,16,0.9764359351988218,14.1092689479638,0.40767684081587663,17.58585624245841,0.40767684081587663,15.314066320739165,0.4448127319409508,0.04289711967893114,0.038859688580270425,12.50390625,10.497183885901867
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_6,725,710,15,0.9793103448275862,14.77413622359155,0.42843621240641117,18.67085934565031,0.42843621240641117,16.267824274313828,0.46852792918817276,-0.011795045819792384,0.03757968702595966,12.3203125,11.416036420396422
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_7,780,697,83,0.8935897435897436,18.287930416068868,0.4674127231191377,22.061850161655283,0.4674127231191377,18.48834927297397,0.4693633385666318,-0.05800947023095712,0.03786828557410035,17.65625,12.340049985812554
PhysNet_UBFC-rPPG,PhysNet,UBFC-rPPG,UBFC-rPPG_PhysNet_DiffNormalized.pth,subject_id,person_8,796,742,54,0.9321608040201005,21.625268488881403,0.5947898105642986,27.021347614979042,0.5947898105642986,30.48805720395086,0.8448758332215737,0.013943291351121075,0.03675715750535364,17.02734375,16.201882289207223
